,index,sample,batch,condition,variable,cell,direction,ilum,status,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75
10,Voltage (V)_c_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),c,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
11,Current Density(mA/cm2)_c_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),c,Forward,Light,30.00303,30.00297,30.00296,30.00297,30.00298,29.86238,24.42366,19.26526,14.39644,9.838,5.713098,1.907469,-1.539652,-4.631745,-6.997569,-9.239681,-11.16097,-12.84696,-14.32972,-15.56337,-16.69299,-17.67337,-18.55647,-19.29429,-19.91474,-20.40199,-20.77937,-21.05887,-21.26399,-21.41989,-21.55822,-21.66912,-21.74261,-21.79913,-21.85394,-21.95052,-21.95973,-21.97295,-22.01453,-22.03365,-22.06742,-22.08872,-22.11877,-22.14037,-22.14936,-22.17729,-22.18219,-22.20589,-22.22679,-22.23139,-22.25316,-22.26628,-22.28061,-22.2889,-22.31123,-22.33732,-22.35303,-22.35343,-22.36311,-22.37443,-22.38971,-22.39646,-22.40401,-22.41666,-22.43245,-22.44389,-22.46227,-22.46608,-22.47187,-22.48423,-22.49441,-22.49747,-22.51199,-22.52969,-22.54139,-22.54639,N/A
12,Voltage (V)_e_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),e,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
13,Current Density(mA/cm2)_e_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),e,Reverse,Light,30.00298,30.00303,30.00294,30.00294,30.00299,30.003,30.00297,27.67284,21.1613,14.93309,9.062488,3.601678,-1.470321,-6.037806,-10.0163,-13.40061,-16.09871,-18.12645,-19.52984,-20.43782,-21.00536,-21.36609,-21.5795,-21.71212,-21.81969,-21.88433,-21.94009,-21.98841,-22.03378,-22.06733,-22.09161,-22.12558,-22.1409,-22.17036,-22.18889,-22.18486,-22.19647,-22.22303,-22.23713,-22.23272,-22.23851,-22.25916,-22.2599,-22.26415,-22.26329,-22.26674,-22.29037,-22.28372,-22.28317,-22.28386,-22.29151,-22.29631,-22.29045,-22.29294,-22.31285,-22.30773,-22.30809,-22.30729,-22.30787,-22.32084,-22.31369,-22.30673,-22.30773,-22.31721,-22.31813,-22.3182,-22.3223,-22.33369,-22.3379,-22.33901,-22.32526,-22.33618,-22.34783,-22.32911,-22.33162,-22.33673,N/A
14,Voltage (V)_e_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),e,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
15,Current Density(mA/cm2)_e_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-1.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),e,Forward,Light,30.00303,30.00295,30.00295,30.00298,30.00296,30.00296,30.00301,27.18212,20.79937,14.7129,8.9877,3.696512,-1.192985,-5.583085,-9.277188,-12.46873,-15.044,-16.97601,-18.39059,-19.39421,-20.11109,-20.63114,-21.00593,-21.27321,-21.4832,-21.63915,-21.76162,-21.85523,-21.93304,-21.98343,-22.03751,-22.07419,-22.10428,-22.11805,-22.14438,-22.15643,-22.17032,-22.19415,-22.2011,-22.19344,-22.21516,-22.22457,-22.22581,-22.23364,-22.23214,-22.23929,-22.2498,-22.24419,-22.25064,-22.25481,-22.27011,-22.27319,-22.27271,-22.27581,-22.28347,-22.26931,-22.27574,-22.27674,-22.29403,-22.30063,-22.30171,-22.29306,-22.30357,-22.30569,-22.30554,-22.31501,-22.31217,-22.31118,-22.33142,-22.32199,-22.32614,-22.32547,-22.32677,-22.32777,-22.34281,-22.3372,N/A
16,Voltage (V)_a_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),a,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
17,Current Density(mA/cm2)_a_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),a,Reverse,Light,30.00281,30.00287,30.00286,30.00286,30.00284,30.00286,30.00289,30.0028,30.00286,30.00286,30.00284,30.00287,30.00284,30.00284,30.0028,30.00281,30.00282,30.00277,30.00282,30.00284,30.00282,30.00286,30.00284,30.00284,30.00281,30.00279,30.00286,30.00277,30.00284,30.0028,30.00282,30.00277,30.00284,30.0028,30.00279,30.00278,30.00277,30.00281,30.00279,30.0028,30.00282,30.00281,30.00284,30.00276,30.00276,30.00277,30.00277,30.00276,30.00277,30.00279,30.00279,30.00277,30.00276,30.00276,30.00277,30.00303,30.00294,30.00297,30.00292,30.00294,30.00284,30.00284,21.36441,12.35546,3.351889,-5.659393,-14.72136,-23.73371,-29.99658,-29.99659,-29.99663,-29.99659,-29.99658,-29.99667,-29.99667,-29.99672,N/A
18,Voltage (V)_a_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),a,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
19,Current Density(mA/cm2)_a_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),a,Forward,Light,30.00296,30.00294,30.00298,30.00294,30.00293,30.00294,30.00292,30.00294,30.00292,30.00294,30.00293,30.00296,30.00292,30.00293,30.00289,30.00289,30.00289,30.0029,30.00289,30.00288,30.00289,30.00289,30.00287,30.00286,30.00284,30.00287,30.00289,30.00286,30.00284,30.00287,30.00288,30.00289,30.00286,30.00286,30.00284,30.00277,30.00281,30.00286,30.00279,30.00278,30.00276,30.00279,30.00279,30.00284,30.00277,30.00277,30.00277,30.00281,30.00275,30.00277,30.00276,30.00276,30.00279,30.00277,30.00276,30.00303,30.00298,30.00303,30.00292,30.00289,30.00286,30.00286,21.37513,12.36291,3.36011,-5.722339,-14.72339,-23.73676,-29.99655,-29.99655,-29.99664,-29.99669,-29.99662,-29.99672,-29.99669,-29.99671,N/A
20,Voltage (V)_b_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),b,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
21,Current Density(mA/cm2)_b_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),b,Reverse,Light,30.00303,30.00299,30.00301,30.00299,30.00296,30.00296,30.00299,28.35496,21.47873,14.91511,8.758056,3.076999,-2.156699,-6.737569,-10.76474,-14.07003,-16.63166,-18.48868,-19.74486,-20.52184,-21.00189,-21.28787,-21.44964,-21.54048,-21.60777,-21.63939,-21.66449,-21.69541,-21.72339,-21.7333,-21.75596,-21.75874,-21.76524,-21.79117,-21.78684,-21.78827,-21.79649,-21.80217,-21.80899,-21.81231,-21.80823,-21.8216,-21.83104,-21.82841,-21.82337,-21.85076,-21.84863,-21.84326,-21.84523,-21.84396,-21.84827,-21.86262,-21.86972,-21.85661,-21.86051,-21.87059,-21.87238,-21.88059,-21.87617,-21.86123,-21.89125,-21.88977,-21.87048,-21.89203,-21.88105,-21.87811,-21.88708,-21.88442,-21.87461,-21.87911,-21.876,-21.87399,-21.89573,-21.90148,-21.89723,-21.91029,N/A
22,Voltage (V)_b_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),b,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
23,Current Density(mA/cm2)_b_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),b,Forward,Light,30.00293,30.00289,30.00296,30.00294,30.00292,30.00294,30.00291,27.26663,20.64292,14.37923,8.534169,3.166999,-1.738573,-6.155478,-9.790269,-12.94541,-15.46424,-17.41077,-18.79066,-19.72551,-20.35641,-20.76154,-21.02903,-21.21036,-21.34197,-21.41379,-21.49861,-21.5649,-21.58961,-21.60886,-21.65844,-21.68417,-21.69513,-21.7322,-21.74971,-21.75991,-21.77079,-21.78043,-21.7861,-21.78782,-21.79334,-21.79688,-21.80617,-21.80568,-21.81606,-21.8134,-21.81222,-21.82371,-21.83142,-21.82312,-21.83905,-21.84116,-21.85161,-21.8521,-21.86498,-21.87802,-21.86997,-21.86537,-21.86208,-21.86333,-21.86545,-21.8689,-21.87148,-21.8677,-21.86433,-21.87241,-21.87758,-21.87261,-21.87586,-21.89627,-21.89381,-21.92527,-21.91835,-21.89173,-21.88387,-21.89608,N/A
24,Voltage (V)_c_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),c,Reverse,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
25,Current Density(mA/cm2)_c_Reverse_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Current Density(mA/cm2),c,Reverse,Light,30.00292,30.00292,30.00289,30.00293,30.00296,30.00293,30.00294,29.34192,22.70834,16.34736,10.35026,4.775548,-0.3717973,-4.995426,-9.088469,-12.55378,-15.30381,-17.35899,-18.78993,-19.69498,-20.26997,-20.63047,-20.84577,-20.96991,-21.05226,-21.09386,-21.14783,-21.19157,-21.21689,-21.24197,-21.26675,-21.28373,-21.31062,-21.32414,-21.34607,-21.35266,-21.36019,-21.37967,-21.3564,-21.37534,-21.40244,-21.40099,-21.38852,-21.40499,-21.41598,-21.42172,-21.42713,-21.43641,-21.43731,-21.43689,-21.44213,-21.43876,-21.43779,-21.43602,-21.43602,-21.43386,-21.45956,-21.44739,-21.44476,-21.44531,-21.4424,-21.45039,-21.45115,-21.4563,-21.48007,-21.46641,-21.45665,-21.46677,-21.46715,-21.47243,-21.48998,-21.48395,-21.47362,-21.48982,-21.49147,-21.48251,N/A
26,Voltage (V)_c_Forward_Light,../xC8VbWnmQ_2E707ttjz-cQ/HZB_MMB_12_10_C-2.jv.txt,xC8VbWnmQ_2E707ttjz-cQ,w,Voltage (V),c,Forward,Light,1.3,1.28,1.26,1.24,1.22,1.2,1.18,1.16,1.14,1.12,1.1,1.08,1.06,1.04,1.02,1.0,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8,0.78,0.76,0.74,0.72,0.7,0.68,0.66,0.64,0.62,0.6,0.58,0.56,0.54,0.52,0.5,0.48,0.46,0.44,0.42,0.4,0.38,0.36,0.34,0.32,0.3,0.28,0.26,0.24,0.22,0.2,0.18,0.16,0.14,0.12,0.1,0.08,0.06,0.04,0.02,0.0,-0.02,-0.04,-0.06,-0.08,-0.1,-0.12,-0.14,-0.16,-0.18,-0.2,N/A
